,Unnamed: 0,dest,orig,1990,1995,2000,2005,2010,2015,2020
257,20948,FIN,AGO,4,49,94,227,328,412,441
258,25918,FRA,AGO,11499,11871,12243,14835,19989,22153,24350
259,8545,GAB,AGO,342,457,572,624,723,1011,1111
260,26170,DEU,AGO,0,0,0,0,0,0,1338
261,23500,GRC,AGO,20,19,19,14,9,8,11
262,11128,GIN,AGO,0,0,0,0,0,115,109
263,18853,HUN,AGO,32,43,53,67,80,78,116
264,21187,ISL,AGO,10,15,19,30,39,34,50
265,21411,IRL,AGO,92,255,559,561,470,480,548
266,23808,ITA,AGO,304,1024,1744,1807,1934,1813,1917
267,21711,LVA,AGO,1,1,2,2,2,2,0
268,26358,LIE,AGO,0,0,0,0,7,7,7
269,21909,LTU,AGO,0,0,0,0,0,1,2
270,26535,LUX,AGO,0,0,0,0,0,0,1061
271,11455,MLT,AGO,70,72,67,273,1253,1542,1807
272,30910,MEX,AGO,39,43,49,48,52,54,57
273,7147,MOZ,AGO,14337,19720,22937,31493,35889,37206,39092
274,10100,NAM,AGO,24028,22978,49790,39319,38119,37350,40105
275,26814,NLD,AGO,1727,2543,3445,9245,1985,4982,4957
276,22101,NOR,AGO,30,41,103,239,377,490,496
277,32716,PER,AGO,8,9,11,13,14,15,26
278,14484,PHL,AGO,581,781,2523,2042,74,76,79
279,19093,POL,AGO,38,32,28,42,59,55,72
280,24327,PRT,AGO,141573,154254,173193,169591,137826,156251,179524
281,19328,ROU,AGO,0,0,0,0,0,17,98
282,19566,RUS,AGO,519,470,404,457,501,511,509
283,8627,STP,AGO,468,556,654,514,404,358,319
284,19763,SVK,AGO,11,11,16,18,20,25,25
285,24687,SVN,AGO,0,0,0,2,3,2,2
286,10233,ZAF,AGO,6602,11043,15785,21994,32017,41296,47945
287,24910,ESP,AGO,1201,1532,2524,3438,4005,3553,4795
288,22361,SWE,AGO,340,403,433,547,706,710,812
289,27073,CHE,AGO,3772,4232,4709,5161,6215,6666,6936
290,22606,GBR,AGO,825,3243,5717,9446,9973,11936,13471
291,7605,TZ,AGO,717,958,1018,1153,1186,1249,1115
292,33860,USA,AGO,2252,3352,4475,7294,10411,14068,20445
293,32962,VEN,AGO,167,164,161,169,180,188,176
294,7681,ZMB,AGO,123807,141001,238248,98687,37306,27864,31424
313,34628,AUS,ATG,21,15,30,30,40,60,63
314,25417,AUT,ATG,4,5,5,5,5,5,8
315,28109,BHS,ATG,13,10,8,11,13,14,13
316,28233,BRB,ATG,226,246,267,225,185,194,194
317,25670,BEL,ATG,0,0,0,0,2,2,1
318,31756,BOL,ATG,10,5,0,0,0,0,0
320,28397,VGB,ATG,388,456,524,600,676,773,877
321,18371,BGR,ATG,1,2,3,4,5,5,4
322,33493,CAN,ATG,1900,2082,2313,2285,2400,2295,2486
323,28658,CUW,ATG,0,0,0,0,51,54,62
324,18609,CZE,ATG,1,2,3,2,0,0,0
325,20408,DNK,ATG,0,0,0,2,3,3,3
326,28750,DMA,ATG,184,243,290,357,379,442,451
327,28832,DOM,ATG,266,296,325,248,171,179,186
328,9038,EGY,ATG,14,13,13,15,16,11,15
329,20659,EST,ATG,0,0,0,0,1,2,7
330,20949,FIN,ATG,0,0,0,0,1,1,1
331,25920,FRA,ATG,19,20,20,103,56,63,67
332,23502,GRC,ATG,12,13,14,22,31,29,29
333,28979,GRD,ATG,22,28,35,36,38,38,39
334,11129,GIN,ATG,0,0,0,0,0,4452,4276
335,32584,GUY,ATG,5,8,10,13,9,9,9
336,18854,HUN,ATG,0,0,0,0,0,1,0
337,21188,ISL,ATG,0,0,0,0,0,1,0
338,21413,IRL,ATG,1,2,3,3,2,2,1
339,23809,ITA,ATG,1,6,11,17,24,793,22
340,29186,JAM,ATG,120,143,165,161,156,153,154
341,21713,LVA,ATG,0,0,0,0,0,1,0
342,26536,LUX,ATG,0,0,0,0,0,0,2
344,10101,NAM,ATG,693,662,616,487,469,459,490
345,26816,NLD,ATG,11,16,23,28,28,33,35
346,31050,NIC,ATG,35,28,65,104,111,119,123
347,22102,NOR,ATG,0,0,0,0,3,4,4
348,19330,ROU,ATG,0,0,0,0,0,3,0
349,29521,KNA,ATG,175,231,319,363,393,404,417
350,29583,LCA,ATG,49,65,90,95,94,90,85
351,29739,VCT,ATG,51,53,55,56,58,58,56
352,29803,SXM,ATG,0,0,0,256,513,534,563
353,22362,SWE,ATG,6,7,6,8,9,8,5
354,27074,CHE,ATG,20,49,80,87,106,81,67
355,22608,GBR,ATG,542,2135,3764,3510,3705,4435,5005
357,33861,USA,ATG,12022,15376,18789,22450,26899,31677,46037
358,23194,AND,ARG,86,118,151,494,819,682,734
359,34630,AUS,ARG,13155,12541,12020,13088,13730,15510,17900
360,25418,AUT,ARG,839,947,1054,1168,1297,1490,1698
361,28110,BHS,ARG,8,8,9,56,102,111,117
362,18261,BLR,ARG,76,92,107,103,99,102,99
363,25671,BEL,ARG,1156,1152,1114,1674,1969,2261,2587
364,31758,BOL,ARG,21923,25141,28095,32418,36671,42697,47601
366,31981,BRA,ARG,28350,27974,27597,28410,28819,33971,36910
367,18372,BGR,ARG,7,30,53,81,107,99,127
368,10828,CPV,ARG,5,8,10,7,4,4,3
369,33495,CAN,ARG,10660,12036,13698,15923,18870,19310,20921
370,28467,CYM,ARG,3,7,13,12,12,12,12
371,32184,CHL,ARG,32696,39251,45770,50740,55685,56363,79253
372,32252,COL,ARG,2359,2471,2582,2540,3386,4464,5719
373,30426,CRI,ARG,1041,864,1120,735,1448,1468,1761
374,23325,HRV,ARG,143,166,171,185,199,200,186
375,28576,CUB,ARG,373,283,190,134,90,58,35
376,28659,CUW,ARG,0,0,0,0,21,21,24
377,16306,CYP,ARG,21,30,38,57,88,80,81
378,18610,CZE,ARG,76,114,152,133,102,199,366
379,20409,DNK,ARG,833,899,965,1038,1063,1259,2361
380,28833,DOM,ARG,2642,2935,3227,2126,1020,1071,1116
381,32333,ECU,ARG,1669,1954,2239,2679,4266,5399,5645
382,9040,EGY,ARG,322,243,183,218,235,161,251
383,30623,SLV,ARG,255,211,166,187,207,216,218
384,20660,EST,ARG,0,0,0,0,14,27,54
386,20950,FIN,ARG,107,120,132,217,267,369,460
387,25921,FRA,ARG,10137,10465,10793,11825,12156,13472,14807
388,16498,GEO,ARG,0,0,16,15,15,15,14
389,26171,DEU,ARG,4499,4616,4732,10339,14929,15323,20566
390,23503,GRC,ARG,641,628,626,641,679,639,652
391,30720,GTM,ARG,285,318,350,416,482,529,595
392,11131,GIN,ARG,0,0,0,0,0,112,105
393,29116,HTI,ARG,466,442,419,398,417,437,456
394,30818,HND,ARG,145,144,142,139,136,191,194
395,18855,HUN,ARG,22,123,223,274,327,368,432
396,21189,ISL,ARG,5,9,13,20,26,46,83
397,21414,IRL,ARG,63,175,382,382,320,327,374
398,16663,ISR,ARG,25526,29503,31828,34777,38148,39343,38204
399,23810,ITA,ARG,31345,25795,20245,46708,78640,69876,72321
400,13561,JPN,ARG,2657,2950,3072,3000,3181,2924,3629
401,21714,LVA,ARG,9,14,20,21,22,12,22
402,26359,LIE,ARG,0,0,0,9,19,26,24
403,21910,LTU,ARG,83,93,72,74,67,53,65
404,26537,LUX,ARG,38,36,35,30,26,39,407
405,24048,MLT,ARG,7,9,10,14,8,14,28
406,11556,MRT,ARG,60,64,66,67,46,66,71
407,30911,MEX,ARG,4340,5366,6625,9831,14174,15214,16688
408,10102,NAM,ARG,74,70,67,52,50,48,50
409,26817,NLD,ARG,1614,1785,2020,2700,2830,3223,4371
410,34937,NZL,ARG,419,516,373,869,1330,1770,4136
411,31051,NIC,ARG,185,147,188,235,251,270,281
412,22103,NOR,ARG,445,491,533,622,803,1086,1246
413,31150,PAN,ARG,580,667,796,1350,2179,2550,3062
414,32649,PRY,ARG,50447,57525,64404,61353,58456,57056,61833
415,32717,PER,ARG,7080,7087,8282,9729,11961,14386,26854
416,14485,PHL,ARG,32,43,657,531,146,148,155
417,19094,POL,ARG,251,214,183,229,283,268,357
418,24328,PRT,ARG,303,654,1032,1197,1165,1320,1512
419,29379,PRI,ARG,1234,1245,1259,1402,1369,1180,828
420,19331,ROU,ARG,10,8,8,6,26,24,337
421,19568,RUS,ARG,582,572,543,399,247,252,250
422,24508,SMR,ARG,68,74,81,74,69,85,90
423,24561,SRB,ARG,5,38,52,52,51,49,48
424,19764,SVK,ARG,20,32,54,61,68,83,90
425,24688,SVN,ARG,92,129,163,328,414,417,435
426,10234,ZAF,ARG,623,702,996,1310,1907,2459,2854
427,24911,ESP,ARG,42923,50810,79339,244014,282553,251841,284921
428,22363,SWE,ARG,1913,2270,2435,2683,2823,2979,3503
429,27075,CHE,ARG,4509,5249,6009,6709,7931,8548,9509
430,17396,TUR,ARG,34,82,131,135,139,138,190
431,22609,GBR,ARG,947,3722,6561,7984,8428,10087,11385
432,33862,USA,ARG,92563,110347,128397,152739,182404,199314,219448
433,32894,URY,ARG,14559,17970,21691,25992,26782,27662,33022
434,32963,VEN,ARG,9483,9138,8724,9078,9542,9944,9374
435,31578,ARG,ARM,1236,1207,1178,870,559,561,565
436,34635,AUS,ARM,388,710,980,1110,1200,1460,1658
437,25419,AUT,ARM,1681,1896,2111,2341,2600,2998,3433
438,16157,AZE,ARM,202586,205368,188400,170050,155685,148503,141756
439,18264,BLR,ARM,6645,6295,5944,5862,5779,5728,5643
440,25672,BEL,ARM,7,6,4,332,846,1413,1834
441,31764,BOL,ARM,0,1,1,3,4,6,5
442,31987,BRA,ARM,0,0,0,26,53,62,65
443,18373,BGR,ARM,1207,1179,1150,1246,1334,1371,1802
444,33501,CAN,ARM,1771,1778,1828,2590,3495,4139,4484
